Song	Artist	Lyrics
DRINK IT DOWN	L'Arc~en~Ciel	" Feel it smoothly attaching\Accepting the taste of darkness\Felt deep down inside your body\\DRINK IT DOWN\AND DON'T GO BACK AROUND\INTO THE DARKNESS\\Let down, you feel trust falls,\Break Down\\It approaches the truth to jump into the coming impact\Without fearing it flows into you.\Where is it consciousness and can it exist by being\held in the mistake that sinks through all eternity?\\GET UP\Get up you know the worst,\Fell down, feel weak\Right Now\\The mirror now is shattered\Awakens by you who doesn't see it either, slowly moving\The hand ... has slightly gotten the eyes running\To the other side of the darkness where it is no more.\\DRINK IT,\DRINK IT DOWN\\DRINK IT,\DRINK IT DOWN"
Aozora	NoGoD	
Longing (Unchained Melody)	X Japan	
Ophelia	L'Arc~en~Ciel	"You sparkle, wrapped in your lovely dress\The intoxicating scent of cassis in the air\\My dearest Ophelia – what's the reason for your silence?\Your lips as cold as ice\My dearest Ophelia – will you speak to me no more?\\You swim in a glass filled with memories\The sadness beneath your mennerisms is like a knife to my heart\\My dearest Ophelia – there are things I never told you\Falling into the dream&#12288;\My dearest Ophelia – can you trust in me no more?\\Endless kiss to that smooth skin\If you'll permit me, I wish to devote all my love to you\\How many loves, how many punishments does it take to reach you?\Answer me, OK ophelia\\Smile, tell me that you jest and hold me like you did that day\I pray that your eyes open once more I wander far\\Endless kiss to that smooth skin\Floating into the night your just too far away I search in vain\"
Ibara no namida	L'Arc~en~Ciel	
Round and Round	L'Arc~en~Ciel	"I hate those adults who don't know the feeling of pain,\because they don't realize it until they bump their head and get injured\Until now what were they taught?\Until they see their own blood, stay away from me\\Your world is very hard for me to understand\It's so twisted that no medicine can cure\After playing stupid games that can't even make you laugh\Don't forget to ask your mom if you can go out to the garden\On the man-made green floor, in the brilliant brightness in the danger\\Turning round and round\Merry-Go-Round (round in merry world)\Ride us round and round\Merry-Go-Round (round in merry world)\\Cannot stop the chain reaction\Can't be interrupted\Round and Round\\Embracing the most important love\Full of calmness\Green floor made of material on the brilliant brightness\No one notices in the danger\\Turning round and round\Merry-Go-Round (round in merry world)\Ride us round and round\Merry-Go-Round (round in merry world)\Carrying danger\Round in merry world\I open the door to tomorrow\Round in merry world\Cannot stop the chain reaction\My feelings are annoyed\Round and Round…"
It's Not a Fashion Statement, It's a Deathwish	My Chemical Romance	
涙雨～なみだあめ ft. Sabi (Cover)	Poucet	
Breeding	Hide	
짧은 치마	AOA	
twinkle, twinkle	L'Arc~en~Ciel	"is the dream, the fragile dream, still conducting heat to your eyes?\i hold up my hand to the sky - right now- knowing i cant reach it\\now, bury the ways to protect the decayed fruit\\yeah\counting the falling tears of the stars\wading across the waves of time\with you by my side, all our love\was exposed in front of my eyes - lost yourself in happiness\\changing, nothing gonna changing\i'm swayed in he wandering course of seasons\this moment, i will cast myself on something this ardor needs\\sooner or later. the decayed fruit will head to the sky\\yeah\counting the falling tears of the stars\wading across the waves of time\with you by my side, all our love\was exposed in front of my eyes - lost yourself in happiness\\Get it on! Get it on! Get it on!\Nothing to fear\\yeah\though the falling tears of the stars will fade\here, another one is born\with you by my side, i will inscribe\all our love in my heart - lost yourself in hapiness\\Get it on! Get it on! Get it on!\Nothing to fear"
Ultimate 4	ギルガメッシュ	
shirasagi	NoGoD	
MY HEART DRAWS A DREAM	L'Arc~en~Ciel	"Look, the wind has started blowing\Still, I'm not giving up yet\I can feel the sun beneath the clouds\even through the headwinds.\ \My heart is drawing a dream\flying high above,to freedom\My heart draws a dream\Oh, If I land somewhere far away and open my eyes\I feel like I would see you there, smiling at me\It would be great if I can meet you, lalalala\ \Hey, if we join our breaths,\we would surely fly higher\I wonder if we can see the future from there\Even just a piece\ \My heart is drawing a dream\flying far away passing through time\My heart draws a dream\Oh, I wish someday, this dream would come true\for you to be here, smiling at me.\ \Come on, reach out your hand\Now, we will be set free\Our hearts will not be bound by anyone\Our eyes will seize the sunlight\No matter how much the world is fading\ \Everybody\Let's draw a dream\Let's draw a dream\Let's draw a dream\Our hearts draw a dream\Let's draw a dream\Let's draw a dream\Let's draw a dream ...look\ \Oh, If I land somewhere far away and open my eyes\It would be great if I could see you there, smiling at me."
Eien	L'Arc~en~Ciel	
Killing Me	L'Arc~en~Ciel	" When i stretch out my hands, it looks as if i'll reach it. My wasted dream was burnt by the sun that will set someday.\\I don't know where i'm heading? Riding on a roar(of a machine) and unveiling the night.\\I can't even patch the hole in my heart. Even love spills out and falls.\\Killing me with a kiss so sweet, it looks as if it may break me. surely i won't wake up from my dream. stop the world, i want to melt forever. Don't open your eyes. Ah Broken Time!\\Lend to those looking from the outside published justice and blott it out until the ends of the earth.\\You laugh innocently,pretending not to know, that the rolling future is at your fingertips.\\Killing me with a kiss so sweet,it looks as if it may break me. surely i won't wake up from my dream. stop the world, i want to melt forever. Don't open your eyes. Ah Broken Time!\\I'll never collapse. because now i've found love. Ah broken time.\\Killing me with a kiss so sweet, it looks as if it will break me. surely i won't wake up from my dream, stop the world before you're never by my side. kissing me with a kiss so sweet, it seems as if it will break me. surely i won't wake up from my dream, stop the world. I want to melt forever. won't open my eyes, Ah~ broken time. "
Bad	Tablo	
STAY AWAY	L'Arc~en~Ciel	"In this world that has slipped away\The thing that I got was freedom\Maybe lucky, maybe lucky\I dare say I'm lucky\\Running along the top of a rail\I wonder, how far can I go?\Maybe lucky, maybe lucky\I dare say I'm lucky\\I can't be attracted by a photocopy world\So your future is there\Well, trying trying in yourself\\Causes stain, stay away\Causes stain, stay away\\The brand new sun\Pours down onto everyone\Maybe happy, maybe happy\I dare say I'm happy\\Don't speak loudly\Or it will set\Maybe happy, maybe happy\I dare say I'm happy\\I'm sick of this twisting world\Don't step on your shadow\Well, trying trying in yourself\\Causes stain, stay away\Causes stain, stay away\Causes stain, stay away\Right away, oh! Bother me\\I was exempt while being born\A rolling stone\Well, trying trying in myself\\Causes stain, stay away\Causes stain, stay away\Causes stain, stay away\Right away...\\Like a floating cloud, no one can catch me\Destroying everything, I was born from freedom"
Shion	ムック	
get out from the shell	L'Arc~en~Ciel	"Worried heart is beating with darkness\Feeling so cold and tight inside of the skull\Nerve function has been out of order\Kissing to the sleeping beauty in the forest\Dream is still a dream that never changes\Dream is still a dream that never changes\Blind fear is lingering around\Falling to the deepness of the inner spiral\Dream is still a dream that never changes\Dream is still a dream that never changes\Get rid of your notions\Haven't you realized yet? (do it)\Get feel of your passion\Haven't you realized yet? (go for it)\Perceive through the soul\Dream is still a dream that never changes\Dream is still a dream that never changes\Destroying illusion with your hands\Destroying illusion with your hands\Get rid of your notions\Haven't you realized yet? (do it)\Get feel of your passion\Haven't you realized yet? (go for it)\You get out from the shell\Get rid of your notions\Haven't you realized yet? (do it)\Get feel of your passion\Haven't you realized yet? (go for it)\Perceive through the soul\Get rid of your notions\Get rid of your border\Get rid of your notions\Get rid of your border"
aito Kanashimino Nocturne	Versailles	
傷心的人別聽慢歌 (貫徹快樂)	五月天	"You've wept too strongly, you've hurt too deeply\You've loved too foolishly\You've cried as if the end of the world is coming\Oh oh\ \So you've been listening to slow songs that are really\Really slow and they are breaking you heart\Isn't in about time to change the rhythm?\Oh oh\ \Don't ask yourself, who's right; who's wrong\Who's innocent; who's to blame or who's in the whose debt?\A mistake has been made; a game has been lost\At least you've got yourself to keep you happy\ \I don't care who you belong to or who belongs to you\I belong to me an no other\Let your heartbeat along the music and feel alive\I dont care if I stand, sit, lie prone or lie on my back\I shall be happy no matter what\Let the deafening music beat along the rhythm\Don't care don't think; don't wait and don't be unhappy\If you are sad, don't listen to slow songs\ \Life is full of separations and unions love is full of pull and pushes\the path is full meanders and detours\But I still look forward to the new landscape that shall come whit tomorrow\Oh oh\ \All angry youth have learnt to let go all the bachelors have fallen in love\all tragedies have had happy ending\All conflicts have been resolved with doves of peace\Oh oh\ \Don't ask yourself, who's right; who's wrong\Who's innocent; who's to blame or who's in the whose debt?\A mistake has been made; a game has been lost\At least you've got yourself to keep you happy\ \I don't care who you belong to or who belongs to you\I belong to me an no other\Let your heartbeat along the music and feel alive\I dont care if I stand, sit, lie prone or lie on my back\I shall be happy no matter what\Let the deafening music beat along the rhythm\Don't care don't think; don't wait and don't be unhappy\If you are sad, don't listen to slow songs\ \I don't care who you belong to or who belongs to you\I belong to me an no other\Let your heartbeat along the music and feel alive\I dont care if I stand, sit, lie prone or lie on my back\I shall be happy no matter what\Let the deafening music beat along the rhythm\Don't care, don't think; don't wait\Rigth here and right now\you've got to tay happy throug the end\Don't care don't think; don't wait and don't be unhappy\If you are sad, don't listen to slow songs"
